review,true_sentiment
"Этот фильм просто шедевр! Ди Каприо и Уинслет сыграли великолепно, музыка доводит до слез. Обязательно к просмотру!",positive
"Отличный фильм, но слишком затянутый. Можно было сократить на полчаса. Но в целом очень трогательная история любви.",positive
"Не понимаю всей этой шумихи. Обычная мелодрама, ничего особенного. Корабль утонул - и что?",negative
Гениальное кино! Смотрел 5 раз и каждый раз плачу. Лучший фильм всех времен!,positive
"Хороший фильм, но не шедевр. Спецэффекты на уровне, игра актеров хорошая, но сюжет предсказуем.",neutral
Скукотища! Три часа тонущего корабля и сопливых разговоров. Полная трата времени.,negative
Прекрасный фильм о любви и самопожертвовании. Очень трогательная концовка. Рекомендую всем!,positive
"Неплохо, но могло быть лучше. Ди Каприо отличный, но фильм затянут. 7/10",neutral
Шикарный фильм! Лео гениален! Смотрела в кинотеатре 3 раза. Музыка из фильма до сих пор в плейлисте.,positive
Обычный фильм-катастрофа. Ничего выдающегося. Проходняк.,neutral
